Quiz-1 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-2 Points Grade <Numeric MaxPoints:30 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-3 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-4 Points Grade <Numeric MaxPoints:30 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-5 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Assignment 1 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 2 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 3 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 4 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment-5 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Midterm Points Grade <Numeric MaxPoints:100 Weight:25>,Final Exam Points Grade <Numeric MaxPoints:100 Weight:25>,WeightedTotal
19,,13,28,22,,0,,,,66,,31.96666667
21,28,23,26,20,100,120,100,100,100,102,73,91.55
22,25,17,26.5,16,100,120,120,100,100,98,61,86.33333333
21,28,23,22,20,100,120,100,115,120,95,80,92.63333333
21,28,25,25,24,100,120,95,120,100,90,42,82.58333333
22,27.5,22,27,20,100,120,100,98,100,86,92,92.28333333
22.5,23,23,21,18,100,120,100,100,120,96,82,91.53333333
22.5,21.5,17,9,20,100,120,90,100,100,44,45,64.73333333
20,25,23,26,18,91,120,100,100,100,90,80,88.75
20.5,27.5,21,24,22,100,120,100,100,100,90,70,87.28333333
,,,,,,120,100,98,100,67,73,55.9
22,26,23,25,25,100,120,120,95,100,94,84,93.75
25,28,21,25,22,100,120,120,100,100,94,92,95.93333333
24.5,28,17,23,20,100,120,100,120,100,83,62,84.05
22,19.5,16,20,23,100,120,90,85,80,79,84,83.28333333
23,26,17,26,18,0,0,0,100,80,83,78,69.51666667
24,30,25,23,23,100,120,120,100,100,98,100,99.73333333
20,19.5,25,23,22,100,120,100,100,100,88,80,88.48333333
,18,,26,18,100,30,100,95,93,63,88,69.58333333
16.5,29.5,20,24,16,100,120,120,115,100,76,96,90.16666667
23,26,23,22,21,76,120,90,97,70,86,80,85.55
25,26,22,28,21,100,120,100,98,100,81,92,91.75
20.5,24,21,30,22,100,120,105,100,100,90,94,93.95
24.5,24,24,26,21,100,120,100,100,100,98,88,94.73333333
24,30,23,21,23,76,120,120,105,100,98,88,95.05
25,24,20,23,18,100,120,100,100,120,91,90,92.68333333
21,27.5,25,26,20,100,100,98,100,100,90,90,92.01666667
25,24,22,30,23,100,120,120,118,120,78,84,92.4
25,30,22,27,25,100,120,100,120,120,84,84,93.9
23,28,25,21,21,80,120,92,113,85,88,96,92.46666667
,,,,,,0,,,,,,0
24,24,16,20,18,100,120,95,120,120,69,72,81.93333333
24.5,27.5,22,23,22,100,120,100,100,100,106,90,97.11666667
25,27,18,21,23,91,120,100,100,100,76,96,89.75
20,22.5,21,20,14,80,120,120,115,100,68,84,82.83333333
18.5,,,12,14,100,100,85,100,100,72,,50.75
22,27,21,25,24,100,118,118,120,118,92,76,92.76666667
22.5,25.5,21,23,21,100,120,120,118,120,58,82,84.88333333
21,26.5,23,28,18,100,120,120,100,100,102,90,96.48333333
21.5,25,20,24,22,100,120,120,105,100,64,91,86.86666667
20.5,30,18,17,16,100,120,100,115,120,80,69,83.73333333
21.5,29.5,25,29,25,100,120,100,100,85,98,92,96.8
22,30,25,28,25,100,120,120,120,120,102,96,102.5666667
24.5,29,22,24,23,100,120,105,120,120,100,80,95.98333333
17,24,17,25,23,100,120,120,100,100,88,84,89.56666667
25,30,25,30,27,100,120,100,100,100,110,100,103.9
